ANIO,MES,ACCIDENTE VIAL,CANTIDAD
2016,1,Lesionado,21
2016,1,Alcohol,10
2016,1,Menores,18
2016,1,Muertes,1
2016,2,Lesionado,21
2016,2,Alcohol,14
2016,2,Menores,28
2016,2,Muertes,0
2016,3,Lesionado,25
2016,3,Alcohol,13
2016,3,Menores,18
2016,3,Muertes,1
2016,4,Lesionado,8
2016,4,Alcohol,7
2016,4,Menores,21
2016,4,Muertes,0
2016,5,Lesionado,12
2016,5,Alcohol,11
2016,5,Menores,9
2016,5,Muertes,2
2016,6,Lesionado,9
2016,6,Alcohol,11
2016,6,Menores,8
2016,6,Muertes,0
2016,7,Lesionado,8
2016,7,Alcohol,12
2016,7,Menores,4
2016,7,Muertes,0
2016,8,Lesionado,7
2016,8,Alcohol,8
2016,8,Menores,24
2016,8,Muertes,0
2016,9,Lesionado,12
2016,9,Alcohol,9
2016,9,Menores,19
2016,9,Muertes,2
2016,10,Lesionado,14
2016,10,Alcohol,7
2016,10,Menores,18
2016,10,Muertes,1
2016,11,Lesionado,19
2016,11,Alcohol,14
2016,11,Menores,18
2016,11,Muertes,1
2016,12,Lesionado,10
2016,12,Alcohol,21
2016,12,Menores,16
2016,12,Muertes,0
2017,1,Lesionado,10
2017,1,Alcohol,11
2017,1,Menores,17
2017,1,Muertes,2
2017,2,Lesionado,11
2017,2,Alcohol,4
2017,2,Menores,25
2017,2,Muertes,0
2017,3,Lesionado,9
2017,3,Alcohol,9
2017,3,Menores,16
2017,3,Muertes,1
2017,4,Lesionado,10
2017,4,Alcohol,7
2017,4,Menores,6
2017,4,Muertes,2
2017,5,Lesionado,7
2017,5,Alcohol,3
2017,5,Menores,12
2017,5,Muertes,0
2017,6,Lesionado,11
2017,6,Alcohol,3
2017,6,Menores,4
2017,6,Muertes,0
2017,7,Lesionado,11
2017,7,Alcohol,6
2017,7,Menores,1
2017,7,Muertes,0
2017,8,Lesionado,17
2017,8,Alcohol,7
2017,8,Menores,11
2017,8,Muertes,3
2017,9,Lesionado,14
2017,9,Alcohol,8
2017,9,Menores,16
2017,9,Muertes,2
2017,10,Lesionado,6
2017,10,Alcohol,8
2017,10,Menores,8
2017,10,Muertes,0
2017,11,Lesionado,9
2017,11,Alcohol,3
2017,11,Menores,7
2017,11,Muertes,0
2017,12,Lesionado,11
2017,12,Alcohol,12
2017,12,Menores,2
2017,12,Muertes,2
2018,1,Lesionado,7
2018,1,Alcohol,7
2018,1,Menores,9
2018,1,Muertes,0
2018,2,Lesionado,7
2018,2,Alcohol,4
2018,2,Menores,7
2018,2,Muertes,0
2018,3,Lesionado,5
2018,3,Alcohol,9
2018,3,Menores,5
2018,3,Muertes,0
2018,4,Lesionado,13
2018,4,Alcohol,6
2018,4,Menores,5
2018,4,Muertes,2
2018,5,Lesionado,7
2018,5,Alcohol,11
2018,5,Menores,7
2018,5,Muertes,1
2018,6,Lesionado,10
2018,6,Alcohol,8
2018,6,Menores,6
2018,6,Muertes,1
2018,7,Lesionado,11
2018,7,Alcohol,4
2018,7,Menores,3
2018,7,Muertes,0
2018,8,Lesionado,16
2018,8,Alcohol,5
2018,8,Menores,3
2018,8,Muertes,0
2018,9,Lesionado,14
2018,9,Alcohol,13
2018,9,Menores,0
2018,9,Muertes,1